id_str,tweet_created_at,user_screen_name,user_id_str,user_statuses_count,user_favourites_count,user_protected,user_listed_count,user_following,user_description,user_location,user_verified,user_followers_count,user_friends_count,user_created_at,tweet_language,text_,favorite_count,favorited,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,retweet_count,retweeted,text
,,,,,,,,,,,,,,,,,,,,,,,,
'793270689780203520',Tue Nov 01 01:57:25 +0000 2016,SeanEPanjab,143515471,51287,4079,FALSE,74,FALSE,"Content marketer; Polyglot; Beard aficionado; Sikh. Persian, Catalan, French, Spanish. You'll find lol in the interstitial lulls of my tweets.",غریب الوطن,FALSE,1503,850,Thu May 13 17:43:52 +0000 2010,en,@AmazonHelp Can you please DM me? A product I ordered last year never arrived.,0,FALSE,AmazonHelp,,85741735,0,FALSE,
'793281386912354304',Tue Nov 01 02:39:55 +0000 2016,AmazonHelp,85741735,2225450,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149569,53,Wed Oct 28 04:17:54 +0000 2009,en,"@SeanEPanjab I'm sorry, we're unable to DM you. Was this order purchased on https://t.co/nUUp5MLhYl, or one of our other sites? ^CL",0,FALSE,SeanEPanjab,7.93E+17,143515471,0,FALSE,
'793501578766319616',Tue Nov 01 17:14:53 +0000 2016,SeanEPanjab,143515471,51287,4079,FALSE,74,FALSE,"Content marketer; Polyglot; Beard aficionado; Sikh. Persian, Catalan, French, Spanish. You'll find lol in the interstitial lulls of my tweets.",غریب الوطن,FALSE,1503,850,Thu May 13 17:43:52 +0000 2010,en,@AmazonHelp It was purchased on https://t.co/gPWnuSkbwC.,0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,@AmazonHelp It was purchased on https://t.co/gPWnuSkbwC.
'793501657346682880',Tue Nov 01 17:15:12 +0000 2016,SeanEPanjab,143515471,51287,4079,FALSE,74,FALSE,"Content marketer; Polyglot; Beard aficionado; Sikh. Persian, Catalan, French, Spanish. You'll find lol in the interstitial lulls of my tweets.",غریب الوطن,FALSE,1503,850,Thu May 13 17:43:52 +0000 2010,en,"@AmazonHelp I am following you now, if it helps to DM.",0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,
'793502854459879424',Tue Nov 01 17:19:57 +0000 2016,AmazonHelp,85741735,2225450,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149569,53,Wed Oct 28 04:17:54 +0000 2009,en,@SeanEPanjab Please give us a call/chat so we can look into this order for you: https://t.co/hApLpMlfHN. ^HB,0,FALSE,SeanEPanjab,7.94E+17,143515471,0,FALSE,@SeanEPanjab Please give us a call/chat so we can look into this order for you: https://t.co/hApLpMlfHN. ^HB
'793504235400884224',Tue Nov 01 17:25:26 +0000 2016,AmazonHelp,85741735,2225450,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149569,53,Wed Oct 28 04:17:54 +0000 2009,en,"@SeanEPanjab Without providing any sensitive information, do the order details indicate that the item was ever shipped? ^SW",0,FALSE,SeanEPanjab,7.94E+17,143515471,0,FALSE,
'793511847899070465',Tue Nov 01 17:55:41 +0000 2016,SeanEPanjab,143515471,51287,4079,FALSE,74,FALSE,"Content marketer; Polyglot; Beard aficionado; Sikh. Persian, Catalan, French, Spanish. You'll find lol in the interstitial lulls of my tweets.",غریب الوطن,FALSE,1503,850,Thu May 13 17:43:52 +0000 2010,en,"@AmazonHelp It was shipped and possibly delivered to my old place of employment. But when I asked for it, no one had it. And so I wonder +",0,FALSE,AmazonHelp,7.94E+17,85741735,0,FALSE,
'793511899279208449',Tue Nov 01 17:55:54 +0000 2016,SeanEPanjab,143515471,51287,4079,FALSE,74,FALSE,"Content marketer; Polyglot; Beard aficionado; Sikh. Persian, Catalan, French, Spanish. You'll find lol in the interstitial lulls of my tweets.",غریب الوطن,FALSE,1503,850,Thu May 13 17:43:52 +0000 2010,en,@AmazonHelp if it was lost. I have the order #.,0,FALSE,AmazonHelp,7.94E+17,85741735,0,FALSE,
'793513446633533440',Tue Nov 01 18:02:03 +0000 2016,AmazonHelp,85741735,2225450,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149569,53,Wed Oct 28 04:17:54 +0000 2009,en,@SeanEPanjab I'm not able to access account info here. Please reach out by Phone/Chat so we can look at this: https://t.co/EKXRLsnxJu ^GL,0,FALSE,SeanEPanjab,7.94E+17,143515471,0,FALSE,@SeanEPanjab I'm not able to access account info here. Please reach out by Phone/Chat so we can look at this: https://t.co/EKXRLsnxJu ^GL
,,,,,,,,,,,,,,,,,,,,,,,,
'793299404975247360',Tue Nov 01 03:51:31 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@JeffBezos @amazonIN @AmazonHelp Tring...Tring...Tring Who's There? Your Suffering Customers from India Mr. Bezos...Get Up and Help!,0,FALSE,JeffBezos,,15506669,0,FALSE,
'793301295255945216',Tue Nov 01 03:59:02 +0000 2016,AmazonHelp,85741735,2225442,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149568,53,Wed Oct 28 04:17:54 +0000 2009,en,"@aakashwangnoo Hi there, kindly write back to us with the details requested so we can proceed further with this.  ^KJ",0,FALSE,aakashwangnoo,7.93E+17,71457972,0,FALSE,
'793407430344310785',Tue Nov 01 11:00:46 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@AmazonHelp How many times do you want to write back to you guys??? Check the complaints through email regarding  Order 171-1338898-5999507.,0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,
'793423313674571776',Tue Nov 01 12:03:53 +0000 2016,AmazonHelp,85741735,2225442,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149568,53,Wed Oct 28 04:17:54 +0000 2009,en,@aakashwangnoo Hi! We have responded to you here: https://t.co/v4YVCa3rff ^SG(1/2),0,FALSE,aakashwangnoo,7.93E+17,71457972,0,FALSE,@aakashwangnoo Hi! We have responded to you here: https://t.co/v4YVCa3rff ^SG(1/2)
'793423314333134850',Tue Nov 01 12:03:53 +0000 2016,AmazonHelp,85741735,2225442,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149568,53,Wed Oct 28 04:17:54 +0000 2009,en,@aakashwangnoo Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^SG(2/2),0,FALSE,aakashwangnoo,7.93E+17,71457972,0,FALSE,
'793467086869630977',Tue Nov 01 14:57:50 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@AmazonHelp @amazonIN I am providing my order details as even after providing that ur CC Team is repeatedly shooting me cut copy paste email,0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,
